id,cid,usn,ease,ivl,lastIvl,factor,time,type
1611478568029,1611149763782,0,1,-60,-60,0,60000,0
1611478586950,1611478026917,0,2,-600,-60,0,18916,0
1611478599623,1611478047545,0,2,-600,-60,0,12670,0
1611478609026,1611478070862,0,2,-600,-60,0,9398,0
1611478617358,1611478094450,0,1,-60,-60,0,8328,0
1611478621587,1611478119518,0,2,-600,-60,0,4227,0
1611478633737,1611478255717,0,2,-600,-60,0,12149,0
1611478648711,1611478378065,0,2,-600,-60,0,14970,0
1611478675693,1611149763782,0,1,-60,-60,0,26978,0
1611478685992,1611478094450,0,2,-600,-60,0,10295,0
1611478697814,1611149763782,0,2,-600,-60,0,11783,0
1611478732641,1611478070862,0,2,1,-600,2500,34822,0
1611478754778,1611478119518,0,3,5,-600,2500,22133,0
1611478778601,1611478047545,0,3,4,-600,2500,23822,0
1611478787279,1611478094450,0,3,3,-600,2500,8675,0
1611478796417,1611478255717,0,3,4,-600,2500,9135,0
1611478824291,1611149763782,0,1,-60,-600,0,27871,0
1611478874941,1611478026917,0,3,5,-600,2500,50648,0
1611478886473,1611149763782,0,2,-600,-60,0,11529,0
1611478899945,1611478378065,0,3,4,-600,2500,13469,0
1611478911710,1611149763782,0,2,1,-600,2500,11763,0
1611589856553,1611149763782,0,3,3,1,2500,39143,1
1611589873413,1611478070862,0,3,4,1,2500,16857,1
1611589883156,1611478975390,0,2,-600,-60,0,9740,0
1611589891512,1611479057259,0,3,4,-60,2500,8353,0
1611589895330,1611479073075,0,3,5,-60,2500,3815,0
1611589911359,1611479102570,0,2,-600,-60,0,16026,0
1611589947158,1611479141925,0,1,-60,-60,0,35796,0
1611589953589,1611479168494,0,1,-60,-60,0,6428,0
1611589971993,1611479202341,0,2,-600,-60,0,18402,0
1611589993343,1611479235245,0,1,-60,-60,0,21348,0
1611590009940,1611479141925,0,2,-600,-60,0,16595,0
1611590026409,1611479168494,0,3,3,-60,2500,16467,0
1611590041636,1611479235245,0,3,3,-60,2500,15195,0
1611590045362,1611478975390,0,3,4,-600,2500,3723,0
1611590065251,1611479202341,0,3,5,-600,2500,19886,0
1611590073266,1611479141925,0,1,-60,-600,0,8012,0
1611590081191,1611479102570,0,1,-60,-600,0,7922,0
1611590100506,1611479141925,0,3,3,-60,2500,19312,0
1611590111706,1611479102570,0,3,3,-60,2500,11197,0
1611590171577,1611524086555,0,2,-600,-60,0,20918,0
1611590184422,1611524134063,0,2,-600,-60,0,12842,0
1611590188248,1611524144994,0,2,-600,-60,0,3823,0
1611590193042,1611524160298,0,3,4,-60,2500,4791,0
1611590195660,1611524169966,0,3,4,-60,2500,2616,0
1611590198405,1611524178036,0,3,5,-60,2500,2743,0
1611590208806,1611524198150,0,1,-60,-60,0,10398,0
1611590213875,1611524206617,0,1,-60,-60,0,5065,0
1611590218777,1611524221829,0,2,-600,-60,0,4899,0
1611590223208,1611524231313,0,1,-60,-60,0,4428,0
1611590227536,1611524250017,0,2,-600,-60,0,4325,0
1611590231267,1611524258235,0,3,3,-60,2500,3728,0
1611590233073,1611524266028,0,3,3,-60,2500,1804,0
1611590239264,1611524289115,0,3,3,-60,2500,6188,0
1611590242810,1611524306789,0,3,3,-60,2500,3544,0
1611590249023,1611524318317,0,3,4,-60,2500,6210,0
1611590252929,1611524334407,0,3,3,-60,2500,3905,0
1611590279433,1611524372067,0,1,-60,-60,0,26500,0
1611590285250,1611524431321,0,3,3,-60,2500,5815,0
1611590288291,1611524206617,0,3,3,-60,2500,3038,0
1611590297251,1611524198150,0,1,-60,-60,0,8957,0
1611590307843,1611524231313,0,1,-60,-60,0,10589,0
1611590331051,1611524592824,0,1,-60,-60,0,23205,0
1611590361106,1611524372067,0,1,-60,-60,0,30026,0
1611590367384,1611524198150,0,3,3,-60,2500,6275,0
1611590373893,1611524231313,0,3,5,-60,2500,6506,0
1611590393234,1611524592824,0,2,-600,-60,0,19339,0
1611590418740,1611524372067,0,3,4,-60,2500,25503,0
1611590436706,1611524086555,0,3,3,-600,2500,17964,0
1611590446179,1611524144994,0,2,1,-600,2500,9470,0
1611590508848,1611524221829,0,3,3,-600,2500,8837,0
1611590542989,1611524134063,0,3,5,-600,2500,6853,0
1611590552381,1611524250017,0,3,3,-600,2500,9388,0
1611590564048,1611524592824,0,2,1,-600,2500,11665,0
1611657408396,1611524592824,0,3,3,1,2500,15661,1
1611657418131,1611524144994,0,1,-600,1,2300,9689,1
1611657434069,1611524706759,0,2,-600,-60,0,15934,0
1611657446689,1611524781441,0,3,4,-60,2500,12619,0
1611657466388,1611524811630,0,2,-600,-60,0,19696,0
1611657477346,1611524828024,0,3,3,-60,2500,10955,0
1611657490600,1611524844627,0,2,-600,-60,0,13251,0
1611657503288,1611525619498,0,1,-60,-60,0,12684,0
1611657547013,1611525904599,0,2,-600,-60,0,43724,0
1611657564805,1611526082377,0,3,4,-60,2500,17789,0
1611657574083,1611525619498,0,3,5,-60,2500,9274,0
1611657581676,1611524144994,0,2,1,-600,2300,7592,2
1611657594082,1611524706759,0,3,3,-600,2500,12403,0
1611657600827,1611524811630,0,3,5,-600,2500,6744,0
1611657613195,1611524844627,0,2,1,-600,2500,12364,0
1611657639321,1611525904599,0,3,3,-600,2500,26123,0
1611657839635,1611606604660,0,3,5,-60,2500,60000,0
1611657883862,1611606659307,0,1,-60,-60,0,44179,0
1611657901098,1611652185637,0,3,5,-60,2500,17232,0
1611657911362,1611652211859,0,3,3,-60,2500,10264,0
1611657929103,1611652273536,0,2,-600,-60,0,17737,0
1611657992767,1611652324351,0,3,3,-60,2500,60000,0
1611658038527,1611606659307,0,2,-600,-60,0,45757,0
1611658056914,1611652383997,0,1,-60,-60,0,18383,0
1611658088568,1611652472367,0,1,-60,-60,0,31651,0
1611658101170,1611652493320,0,3,5,-60,2500,12598,0
1611658114609,1611652521963,0,3,4,-60,2500,13436,0
1611658139447,1611652581482,0,3,4,-60,2500,24835,0
1611658152872,1611652383997,0,2,-600,-60,0,13422,0
1611658173640,1611652472367,0,2,-600,-60,0,20745,0
1611658192923,1611652652436,0,3,3,-60,2500,19279,0
1611658218621,1611652704028,0,3,3,-60,2500,25696,0
1611658230147,1611653065154,0,2,-600,-60,0,11522,0
1611658242278,1611653417877,0,3,3,-60,2500,12130,0
1611658270805,1611653472090,0,2,-600,-60,0,28524,0
1611658290495,1611653896935,0,2,-600,-60,0,19687,0
1611658319046,1611654125621,0,3,3,-60,2500,28547,0
1611658329530,1611654163504,0,1,-60,-60,0,10482,0
1611658350635,1611654374692,0,3,5,-60,2500,21101,0
1611658368045,1611654163504,0,2,-600,-60,0,17406,0
1611658392190,1611606659307,0,3,3,-600,2500,24142,0
1611658406007,1611652273536,0,3,5,-600,2500,13817,0
1611658426072,1611652472367,0,1,-60,-600,0,20062,0
1611658453322,1611652383997,0,3,3,-600,2500,27246,0
1611658467603,1611652472367,0,3,5,-60,2500,14234,0
1611658474390,1611653065154,0,3,3,-600,2500,6784,0
1611658485554,1611653896935,0,3,4,-600,2500,11161,0
1611658509988,1611654163504,0,3,4,-600,2500,24430,0
1611658522419,1611653472090,0,3,3,-600,2500,12428,0
1611843141223,1611149763782,0,3,7,3,2500,23877,1
1611843169300,1611479141925,0,3,8,3,2500,28074,1
1611843178937,1611478094450,0,3,8,3,2500,9633,1
1611843193328,1611478378065,0,1,-600,4,2300,14388,1
1611843212223,1611479102570,0,1,-600,3,2300,18893,1
1611843225809,1611479235245,0,3,9,3,2500,13583,1
1611843241204,1611478047545,0,3,8,4,2500,15392,1
1611843262077,1611479168494,0,1,-600,3,2300,20870,1
1611843271100,1611478255717,0,3,8,4,2500,9020,1
1611843284090,1611478378065,0,2,1,-600,2300,12987,2
1611843295297,1611479102570,0,2,1,-600,2300,11204,2
1611843300227,1611479168494,0,2,1,-600,2300,4926,2
