start,lumens,stop
2024-01-23T11:01:30+01:00,32400,2024-01-23T12:39:25+01:00
2024-01-25T18:40:23+01:00,32400,2024-01-25T19:02:02+01:00
2024-01-29T17:01:43+01:00,32400,2024-01-29T20:22:53+01:00
2024-01-30T12:15:09+01:00,32400,2024-01-30T13:12:49+01:00
2024-01-30T13:27:48+01:00,32400,2024-01-30T14:26:12+01:00
2024-01-31T18:58:49+01:00,32400,2024-01-31T20:36:26+01:00
2024-02-02T13:37:15+01:00,32400,2024-02-02T14:03:35+01:00
2024-02-04T12:33:38+01:00,32400,2024-02-04T12:54:54+01:00
2024-02-04T13:40:27+01:00,32400,2024-02-04T16:41:11+01:00
2024-02-07T17:50:32+01:00,32400,2024-02-07T18:03:30+01:00
2024-02-11T13:33:21+01:00,32400,2024-02-11T13:53:57+01:00
2024-02-11T15:32:55+01:00,32400,2024-02-11T16:47:05+01:00
2024-02-13T00:16:32+01:00,32400,2024-02-13T02:25:44+01:00
2024-02-13T13:22:38+01:00,32400,2024-02-13T14:30:32+01:00
2024-02-13T14:43:32+01:00,32400,2024-02-13T16:52:03+01:00
2024-02-13T20:09:13+01:00,32400,2024-02-13T23:12:51+01:00
2024-02-16T14:47:41+01:00,32400,2024-02-16T16:33:15+01:00
2024-02-16T16:47:29+01:00,32400,2024-02-16T19:00:00+01:00
2024-02-17T16:16:15+01:00,32400,2024-02-17T16:58:46+01:00
2024-02-17T17:17:45+01:00,32400,2024-02-17T18:05:36+01:00
2024-02-18T15:52:23+01:00,32400,2024-02-18T16:35:03+01:00
2024-02-18T20:56:46+01:00,32400,2024-02-18T21:19:15+01:00
2024-02-20T14:52:34+01:00,32400,2024-02-20T15:27:26+01:00
2024-05-20T12:18:50+02:00,32400,2024-05-20T15:35:40+02:00
2024-05-20T16:27:35+02:00,32400,2024-05-20T20:27:45+02:00
2024-05-21T22:20:07+02:00,32400,2024-05-21T23:01:34+02:00
2024-06-08T14:22:23+02:00,32400,2024-06-08T19:58:53+02:00
2024-06-08T21:12:12+02:00,32400,2024-06-08T21:49:28+02:00
2024-06-11T15:00:04+02:00,32400,2024-06-11T18:01:46+02:00
2024-06-13T18:20:54+02:00,32400,2024-06-13T19:46:54+02:00
2024-06-15T12:12:53+02:00,32400,2024-06-15T14:46:50+02:00
2024-06-16T23:00:57+02:00,32400,2024-06-17T00:02:45+02:00
2024-06-22T14:12:04+02:00,32400,2024-06-17T16:30:00+02:00
2024-06-27T11:56:24+02:00,32400,2024-06-27T13:45:30+02:00
2024-06-29T14:09:53+02:00,32400,2024-06-29T16:15:00+02:00
2024-06-29T19:57:39+02:00,32400,2024-06-29T21:00:00+02:00
2024-06-30T12:28:07+02:00,32400,2024-06-30T13:35:10+02:00
2024-06-30T20:30:07+02:00,32400,2024-06-30T23:47:10+02:00
2024-07-01T21:23:15+02:00,32400,2024-07-02T00:03:02+02:00
2024-07-02T10:13:21+02:00,32400,2024-07-02T13:10:23+02:00
2024-07-02T17:10:00+02:00,32400,2024-07-02T19:33:36+02:00
2024-07-02T21:28:25+02:00,32400,2024-07-02T23:30:31+02:00
2024-07-03T22:30:27+02:00,32400,2024-07-03T22:31:13+02:00
2024-07-04T11:43:23+02:00,32400,2024-07-04T17:02:03+02:00
2024-07-04T20:20:50+02:00,32400,2024-07-04T22:33:01+02:00
2024-07-07T19:55:53+02:00,32400,2024-07-07T22:18:29+02:00
2024-07-11T12:10:20+02:00,32400,2024-07-11T12:10:34+02:00
2024-07-11T22:04:18+02:00,32400,2024-07-11T23:30:00+02:00
2024-07-13T18:27:22+02:00,32400,2024-07-13T23:41:22+02:00
2024-07-14T21:13:42+02:00,32400,2024-07-14T23:04:04+02:00
2024-07-16T12:55:02+02:00,32400,2024-07-16T17:11:24+02:00
2024-07-17T00:13:32+02:00,32400,2024-07-17T01:15:49+02:00
2024-07-20T18:13:12+02:00,32400,2024-07-20T19:22:19+02:00
2024-07-20T19:45:08+02:00,32400,2024-07-20T22:29:08+02:00
2024-07-20T23:00:18+02:00,32400,2024-07-20T23:51:20+02:00
2024-07-21T17:05:29+02:00,32400,2024-07-21T18:00:00+02:00
2024-07-23T12:04:44+02:00,32400,2024-07-23T17:13:21+02:00
2024-07-23T19:14:17+02:00,32400,2024-07-23T22:07:31+02:00
2024-07-27T13:01:21+02:00,32400,2024-07-27T18:04:32+02:00
2024-07-27T19:46:00+02:00,32400,2024-07-27T22:26:22+02:00
2024-07-30T13:27:11+02:00,32400,2024-07-30T14:38:41+02:00
2024-07-30T17:34:04+02:00,32400,2024-07-31T00:34:02+02:00
2024-08-01T11:25:36+02:00,32400,2024-08-01T14:52:34+02:00
2024-08-02T22:59:38+02:00,32400,2024-08-02T23:42:06+02:00
2024-08-03T12:07:04+02:00,32400,2024-08-03T12:37:49+02:00
2024-08-03T14:22:23+02:00,32400,2024-08-03T17:36:03+02:00
2024-08-03T19:20:53+02:00,32400,2024-08-03T21:25:53+02:00
2024-08-04T12:40:15+02:00,32400,2024-08-04T14:16:10+02:00
2024-08-04T17:37:14+02:00,32400,2024-08-04T18:42:22+02:00
2024-08-05T19:44:02+02:00,32400,2024-08-05T20:29:22+02:00
2024-08-05T21:54:51+02:00,32400,2024-08-05T23:46:04+02:00
2024-08-06T16:00:49+02:00,32400,2024-08-06T17:14:41+02:00
2024-08-09T16:40:05+02:00,32400,2024-08-09T23:03:16+02:00
2024-08-28T19:42:22+02:00,32400,2024-08-28T21:50:01+02:00
2024-08-29T20:22:27+02:00,32400,2024-08-30T00:55:01+02:00
2024-08-30T19:02:21+02:00,32400,2024-08-30T19:31:45+02:00
2024-08-31T18:40:49+02:00,32400,2024-08-31T20:21:17+02:00
2024-09-01T21:25:46+02:00,32400,2024-09-01T23:20:24+02:00
2024-09-03T19:04:08+02:00,32400,2024-09-03T22:16:50+02:00
2024-09-07T19:16:40+02:00,32400,2024-09-08T00:36:15+02:00
2024-09-10T13:56:33+02:00,32400,2024-09-10T20:06:39+02:00
2024-09-17T19:18:54+02:00,32400,2024-09-17T22:35:05+02:00
2024-09-19T12:32:09+02:00,32400,2024-09-19T14:13:17+02:00
2024-09-19T16:00:03+02:00,32400,2024-09-19T16:49:52+02:00
2024-09-19T20:24:46+02:00,32400,2024-09-19T22:20:58+02:00
2024-09-20T15:47:11+02:00,32400,2024-09-20T17:38:35+02:00
2024-09-26T10:50:50+02:00,32400,2024-09-26T17:18:13+02:00
2024-09-26T19:30:25+02:00,32400,2024-09-26T23:02:08+02:00
2024-09-28T17:24:10+02:00,32400,2024-09-28T20:30:24+02:00
2024-09-28T22:11:05+02:00,32400,2024-09-29T00:11:19+02:00
