start,productivity,end
2024-01-30T12:14:45+01:00,university,0.25,2024-01-30T12:39:45+01:00
2024-01-30T12:44:45+01:00,cleaning and eating and university,0.22,2024-01-30T13:09:45+01:00
2024-01-30T13:27:31+01:00,university,0.3,2024-01-30T13:52:31+01:00
2024-01-30T13:57:31+01:00,university,0.2,2024-01-30T14:22:31+01:00
2024-02-07T14:30:58+01:00,applications and housekeeping,0.2,2024-02-07T14:55:58+01:00
2024-02-07T15:00:58+01:00,job applications and phone call,0.3,2024-02-07T15:33:23+01:00
2024-02-07T15:38:23+01:00,job applications and messaging,0.35,2024-02-07T16:06:09+01:00
2024-02-08T15:09:08+01:00,procrastination,0.01,2024-02-08T15:34:08+01:00
2024-02-08T15:39:08+01:00,procrastination and job applications,0.05,2024-02-08T16:04:08+01:00
2024-02-08T16:09:08+01:00,job applications,0.35,2024-02-08T16:34:08+01:00
2024-02-08T16:39:08+01:00,job applications,0.4,2024-02-08T17:04:08+01:00
2024-02-08T21:49:36+01:00,university,0.32,2024-02-08T22:14:36+01:00
2024-02-08T22:19:36+01:00,university and reading,0.2,2024-02-08T22:44:36+01:00
2024-02-13T14:45:12+01:00,university,0.25,2024-02-13T15:10:12+01:00
2024-02-13T15:15:12+01:00,university,0.25,2024-02-13T15:40:12+01:00
